ID,true,pred
TRAIN_00000,고소작업 시 추락 위험이 있는 부위에 안전장비 설치.,"### 대책
1. 안전 교육 강화: 근로자들에게 사고 예방을 위한 안전 교육을 정기적으로 실시하고, 특히 유사 사례에 대해 상세히 설명해야 합니다.
2. 2인 1조 작업: 위험 작업(토목공사 중 특히 굴착 및 매설 작업 등)은 최소 2인 1조로 진행해야 합니다.
3. 사고 사례 전파 및 patrol 강화: 사고 사례를 정기적으로 전파하고, 현장 내부를 주기적으로 점검하여 위험 요소를 사전에 발견하고 대응할 수 있도록 해야 합니다.
4. 안전 관리체계 강화: CSI 등재를 통해 사고 발생 시 신속한 대응이 가능하도록 하고, 산업재해보상보험 처리도 포함해야 합니다.
5. 작업 전 안전 점검: 모든 작업이 시작되기 전에 사고 예방을 위한 안전 점"
TRAIN_00001,재발 방지 대책 마련과 안전교육 실시.,"1. 철근 제단작업 중 사고 발생
   - 안전교육 강화 및 철저한 관리감독으로 재발 방지
2. 거푸집 운반 중 사고 발생
   - 거푸집 운반 시 무리한 작업 금지, 작업 전후 몸 상태 확인 필수
3. 계단 하부 작업 중 사고 발생
   - 작업 시 계단 상부 주의, 안전교육 강화
4. 용접 작업 중 화상 사고 발생
   - 개인 보호장비 착용 강화, 안전교육 실시
5. 계단 상부에서 떨어진 파이프로 인한 사고 발생
   - 안전교육 강화 및 주의사항 전달

이 사례들에서 공통적으로 필요한 대책은 다음과 같습니다:
- KOSHA 안전 가이드라인 준수
- 안전교육의 철저한 실시
- 작업 전후 몸 상태 확인
- 작업"
TRAIN_00002,현장자재 정리와 안전관리 철저를 통한 재발 방지 대책 및 공문 발송을 통한 향후 조치 계획.,"1. 근로자 특별 안전교육 실시
2. 관리감독자 및 안전감시단 위험작업 입회
3. 안전벨트 고리 거치대 설치 확인 후 작업
4. A형 사다리 사용 금지
5. 아차사고 예방교육 실시
6. 2인1조 작업 의무화 교육 실시
7. 작업자 대상 안전교육 실시 강화
8. 현장대리인과 상주감리의 현장 안전관리 철저 당부
9. 해당 위치 작업발판 및 사다리 조성
10. 공사 공간 단차이 재점검 및 조치
11. 노동부 근로감독관의 현장 조사 및 사고공종에 대한 부분작업중지명령 통보
12. 안전문제 종합 지적 및 안전진단보고서 제출
13. 전문 안전진단 업체를 통한 전체 안전"
TRAIN_00003,"위험성 평가 및 교육을 통해 작업장 내 위험요인과 안전수칙을 근로자에게 전파하고, 근로자 안전교육을 강화하며, 본 사고와 관련된 유사 피해 발생 방지를 위한 안전교육을 실시할 계획.","1. 안전교육 강화: 모든 현장 종사자에게 철저한 안전사고 방지 교육을 실시하고, 특히 작업자와 현장 소장에 중점을 둡니다.
2. 작업장 정리정돈: 작업 전후 근로자 이동구간을 정리정돈하고 상태를 수시로 확인하여 넘어짐 사고 방지.
3. 작업방법 확인: 작업 투입 전 작업방법을 확인하고 근로자들이 작업내용을 숙지하도록 합니다.
4. 위험요소 시인성 강화: 작업장의 위험요소를 명확히 표시하고 안전조치를 지시합니다.
5. 사고 보고 체계 강화: 사고 발생 시 신속하게 보고하고 대응할 수 있는 체계를 마련합니다.
6. 안전 점검 강화: 정기적이고 철저한 안전 점검을 실시하여 잠재적"
TRAIN_00004,자재 정리 작업 시 세부 작업 방법에 대한 교육 실시와 작업 구간 이동 경로 점검 후 장애물 사전 정리 작업 실시.,"1. 현장 교육 실시 계획 수립
2. 안전 교육 강화
3. 2인1조 작업 시행
4. 근로자 안전 교육 강화
5. 계단실 철근 배근 구간 가설계단 설치 교육
6. 안전작업 절차 준수 교육
7. 사례예방교육 실시
8. 거푸집 인양 설치 시 회전방지줄 사용
9. 안전유의사항 반복교육 실시
10. 작업기지 내 안전 점검 및 정기적 청소 실시
11. 작업장 환경 개선 및 환기 확보
12. 적절한 휴식 시간 보장
13. 사고 신고 및 조치 프로토콜 마련
14. 안전모 및 보호구의 적절한 착용 강조
15. 작업장 내 비상 대피 경로 마련 및 교육
16. 사고 발생 시 신속 대응"
TRAIN_00005,"인근 작업장의 윈치양중 사고 강조 및 안전교육, 윈치양중 작업 최소화와 가능한 CAR작업 진행을 포함한 유사사고 재발 방지 대책 제출.","### 대책
1. 철근 용접 작업 시 안전 교육 강화: 작업자들에게 철근 용접 시 안전 절차와 주의사항에 대해 반복적으로 교육하고 실습을 통해 숙달시키는 것이 필요합니다.
2. 작업장 내 통로 적치 및 통행 제한: 통로 내에 가설 자재나 작업 발판 등이 적치되지 않도록 철저히 관리하고, 통행 시 안전벨트 착용과 점검을 의무화해야 합니다.
3. 작업자 건강 관리 강화: 작업자의 건강 상태를 주기적으로 점검하고, 과거 병력에 따른 적절한 작업 배치와 휴식 시간을 보장해야 합니다.
4. 안전 장비 보급 및 사용 의무화: 안전모, 안전 안경, 끝단부 낙상 방지 장치 등 필요한 안전 장비를 보급하고 착용을 의무화해야 합니다.
"
TRAIN_00006,관련 공종 전 작업자 유해위험사항 재교육과 시공사 및 감리자 행정지도 실시,"1. 안전관리 교육 강화
   - 사고 원인 중 자재 적재 상태 불량과 계단 답단 미끄럼방지조치 미흡, 렌탈 승하강 방법에 대한 근로자 교육 미흡 등이 확인되었습니다. 
   - 안전관리 교육을 철저히 실시하여 사고 재발 방지에 주력해야 합니다.

2. 사고 사례 전파 및 안전수칙 교육
   - 지정된 가설계단이 아닌 비통로를 통한 이동으로 인한 사고가 발생했습니다.
   - 건축관계자에게 사고 사례를 전파하고 안전수칙 교육을 강화하여 안전수칙 준수의 의식을 높여야 합니다.

3. 계단 답단 미끄럼방지 조치 실시
   - 계단 답단 미끄럼방지 조치가 미흡한 상태였습니다.
"
TRAIN_00007,"안전교육, 현장 내 관리감독 철저, 개인보호구 착용상태 관리 철저.","### 대책
1. 철근 배근 작업 시 안전벨트 착용을 의무화하고, 작업자들에게 안전 교육을 실시한다.
2. 작업장 내 안전거리를 확보하고, 작업대 주변에 경고 표지판을 설치한다.
3. 철근 자재를 안전하게 보관하고 이동할 때는 적절한 운반 장비를 사용한다.
4. 작업자들의 근육통 예방을 위한 정기적인 스트레칭 및 휴식 시간을 마련한다.
5. 작업장 내 비상구와 비상 연락망을 확립하고, 사고 발생 시 신속 대응 계획을 마련한다.
6. 작업장 내 청결을 유지하고, 건설 자재와 공구의 적절한 정리와 보관을 강조한다.
7. 작업자들 간의 원활한 의사소통을 위한 회의 및 팀워크 강화에"
TRAIN_00008,TBM을 통한 재해사례 전파 및 지속적인 교육 실시와 안전교육 지도를 포함한 향후 조치 계획.,"### 대책 
1. 안전 교육 강화: 근로자들에게 건설 현장 안전에 대한 사전 교육을 실시하고 주기적으로 복습하도록 한다.
2. 현장 내 안전 점검 강화: 정기적인 안전 점검을 통해 잠재적 위험 요소를 식별하고 조치한다.
3. 작업 전 안전 조치 계획 수립: 모든 작업 전 사전 안전 검토 및 필요한 개인 보호 장비(PPE) 착용을 요구한다.
4. 사고 발생 시 신속 대응: 사고 발생 시 즉시 구조 및 응급 처치를 실시하고, 사고 원인 분석 후 재발 방지 대책 마련한다.
5. 현장 감독 강화: 현장 감독자가 근무 상황을 지속적으로 모니터링하고 위험 요소를 신속히 대응할 수 있도록 한다.
6. 작업자 간 의사소통 강화: 작업자들 간"
TRAIN_00009,"공사현장 안전줄 설치 및 안전벨트 착용, 개구부 추락방지망 및 난간대 설치, 안전관리 교육의 이행.","1. 작업전 위험요소 TBM 실시
2. 작업장 추락위험지구 안전점검 후 조치
3. 안전난간 설치 불가지역에 대한 별도의 추락방지조치 이행
4. 작업장 안전시설 설치 및 공사현장 안전관리 철저
5. 안전교육 강화와 현장 내 작업자 동선 확보
6. 안전을 위한 철저한 현장 관리 및 공사 현장 관리와 안전 관리의 철저함
7. 작업자 안전교육 재실시
8. 중량물 자재 인양 및 운반 시 이동경로상 정리정돈 시행
9. 위험요소 사전 작업방법 논의 후 진행
10. 비슷한 작업 작업관리자 배치 후 감독 하에 진행
11. 관리자 확인 후 중량물 인양 작업 진행
12. 중량물 관련 작업 시 사전"
